Object Unique ID,Level,File name,File use,Type of Resource,Language,Title,Title,Subtitle,Translation,Variant,Variant,Variant,Variant,Variant,Variant,Variant,Variant,Variant,Variant,Variant,Variant,Variant,Variant,Variant,Variant,Begin date,Begin date,Date:creation,Date:creation,End date,End date,File name 2,File use 2,Identifier:filename,Identifier:filename,Note:local attribution,Note:note,Note:note,Note:note,Note:note,Note:publication,Note:publication,Note:series,Note:series,Subject:topic
http://library.ucsd.edu/ark:/20775/bb4984071q,Object,20775-bb4984071q-0-1.pdf,document-service,text,,UCSD Guardian,,,,Triton Times,Guardian,The Guardian,Daily Guardian,,,,,,,,,,,,,1991-03-11,,"March 11, 1991",,1991-03-11,,20775-bb4984071q-0-2.tgz,document-source,VOLUME72_ISSUE19_MONDAYMARCH11_1991.pdf,,"Special Collections & Archives, UC San Diego, La Jolla, 92093-0175 (http://libraries.ucsd.edu/collections/sca/)",PDF file includes photographs,"The UCSD student newspaper has been published under the five following titles during its existence: Triton Times (May 26, 1967 - June 9, 1978); Guardian (September 19, 1978 - June 1, 1979); Daily Guardian (June 4, 1979 - November 26, 1980); The Guardian (January 5, 1981 - June 4, 1981); UCSD Guardian (September 15, 1981 -)",,,"La Jolla, CA",,"Volume 72, Issue 19",,
http://library.ucsd.edu/ark:/20775/bb23560659,Object,20775-bb23560659-0-1.pdf,document-service,text,,UCSD Guardian,,,,Daily Guardian,The Guardian,Guardian,Triton Times,,,,,,,,,,,,,1997-10-09,,"October 9, 1997",,1997-10-09,,20775-bb23560659-0-2.tgz,document-source,VOLUME92_ISSUE5_THURSDAYOCTOBER9_1997.pdf,,"Special Collections & Archives, UC San Diego, La Jolla, 92093-0175 (http://libraries.ucsd.edu/collections/sca/)",PDF file includes photographs,"The UCSD student newspaper has been published under the five following titles during its existence: Triton Times (May 26, 1967 - June 9, 1978); Guardian (September 19, 1978 - June 1, 1979); Daily Guardian (June 4, 1979 - November 26, 1980); The Guardian (January 5, 1981 - June 4, 1981); UCSD Guardian (September 15, 1981 -)",,,"La Jolla, CA",,"Volume 92, Issue 5",,
http://library.ucsd.edu/ark:/20775/bb6690569x,Object,20775-bb6690569x-0-1.pdf,document-service,text,,UCSD Guardian,,,,Daily Guardian,Guardian,The Guardian,Triton Times,,,,,,,,,,,,,1981-09-21,,"September 21, 1981",,1981-09-21,,20775-bb6690569x-0-2.tgz,document-source,VOLUME44_ISSUE2_MONDAYSEPTEMBER21_1981.pdf,,"Special Collections & Archives, UC San Diego, La Jolla, 92093-0175 (http://libraries.ucsd.edu/collections/sca/)","The UCSD student newspaper has been published under the five following titles during its existence: Triton Times (May 26, 1967 - June 9, 1978); Guardian (September 19, 1978 - June 1, 1979); Daily Guardian (June 4, 1979 - November 26, 1980); The Guardian (January 5, 1981 - June 4, 1981); UCSD Guardian (September 15, 1981 -)",PDF file includes photographs,,,"La Jolla, CA",,"Volume 44, Issue 2",,
http://library.ucsd.edu/ark:/20775/bb14686814,Object,20775-bb14686814-0-1.pdf,document-service,text,,Guardian,,,,Daily Guardian,UCSD Guardian,The Guardian,Triton Times,,,,,,,,,,,,,1979-03-02,,"March 2, 1979",,1979-03-02,,20775-bb14686814-0-2.tgz,document-source,VOLUME36_ISSUE23_FRIDAYMARCH2_1979.pdf,,"Special Collections & Archives, UC San Diego, La Jolla, 92093-0175 (http://libraries.ucsd.edu/collections/sca/)",PDF file includes photographs,"The UCSD student newspaper has been published under the five following titles during its existence: Triton Times (May 26, 1967 - June 9, 1978); Guardian (September 19, 1978 - June 1, 1979); Daily Guardian (June 4, 1979 - November 26, 1980); The Guardian (January 5, 1981 - June 4, 1981); UCSD Guardian (September 15, 1981 -)",,,"La Jolla, CA",,"Volume 36, Issue 23",,
http://library.ucsd.edu/ark:/20775/bb7509692g,Object,20775-bb7509692g-0-1.pdf,document-service,text,,Triton Times,,,,UCSD Guardian,The Guardian,Guardian,Daily Guardian,,,,,,,,,,,,,1973-04-17,,"April 17, 1973",,1973-04-17,,20775-bb7509692g-0-2.tgz,document-source,VOLUME19_ISSUE5_TUESDAYAPRIL17_1973.pdf,,"Special Collections & Archives, UC San Diego, La Jolla, 92093-0175 (http://libraries.ucsd.edu/collections/sca/)","The UCSD student newspaper has been published under the five following titles during its existence: Triton Times (May 26, 1967 - June 9, 1978); Guardian (September 19, 1978 - June 1, 1979); Daily Guardian (June 4, 1979 - November 26, 1980); The Guardian (January 5, 1981 - June 4, 1981); UCSD Guardian (September 15, 1981 -)",PDF file includes photographs,,,"La Jolla, CA",,"Volume 19, Issue 5",,
http://library.ucsd.edu/ark:/20775/bb8567844r,Object,20775-bb8567844r-0-1.pdf,document-service,text,,UCSD Guardian,,,,Triton Times,Guardian,Daily Guardian,The Guardian,,,,,,,,,,,,,2009-03-02,,"March 2, 2009",,2009-03-02,,,,03_02_09.pdf,,"Special Collections & Archives, UC San Diego, La Jolla, 92093-0175 (http://libraries.ucsd.edu/collections/sca/)","The UCSD student newspaper has been published under the five following titles during its existence: Triton Times (May 26, 1967 - June 9, 1978); Guardian (September 19, 1978 - June 1, 1979); Daily Guardian (June 4, 1979 - November 26, 1980); The Guardian (January 5, 1981 - June 4, 1981); UCSD Guardian (September 15, 1981 -)",PDF file includes photographs,,,"La Jolla, CA",,,,
http://library.ucsd.edu/ark:/20775/bb3209313h,Object,20775-bb3209313h-0-1.pdf,document-service,text,,UCSD Guardian,,,,Daily Guardian,The Guardian,Triton Times,Guardian,,,,,,,,,,,,,1985-12-05,,"December 5, 1985",,1985-12-05,,20775-bb3209313h-0-2.tgz,document-source,VOLUME56_ISSUE20_THURSDAYDECEMBER5_1985.pdf,,"Special Collections & Archives, UC San Diego, La Jolla, 92093-0175 (http://libraries.ucsd.edu/collections/sca/)","The UCSD student newspaper has been published under the five following titles during its existence: Triton Times (May 26, 1967 - June 9, 1978); Guardian (September 19, 1978 - June 1, 1979); Daily Guardian (June 4, 1979 - November 26, 1980); The Guardian (January 5, 1981 - June 4, 1981); UCSD Guardian (September 15, 1981 -)",PDF file includes photographs,,,"La Jolla, CA",,"Volume 56, Issue 20",,
http://library.ucsd.edu/ark:/20775/bb20147652,Object,20775-bb20147652-0-1.pdf,document-service,text,,Triton Times,,,,Daily Guardian,UCSD Guardian,Guardian,The Guardian,,,,,,,,,,,,,1974-03-15,,"March 15, 1974",,1974-03-15,,20775-bb20147652-0-2.tgz,document-source,VOLUME21_ISSUE20_MARCH15_1974.pdf,,"Special Collections & Archives, UC San Diego, La Jolla, 92093-0175 (http://libraries.ucsd.edu/collections/sca/)","The UCSD student newspaper has been published under the five following titles during its existence: Triton Times (May 26, 1967 - June 9, 1978); Guardian (September 19, 1978 - June 1, 1979); Daily Guardian (June 4, 1979 - November 26, 1980); The Guardian (January 5, 1981 - June 4, 1981); UCSD Guardian (September 15, 1981 -)",PDF file includes photographs,,,"La Jolla, CA",,"Volume 21, Issue 20",,
http://library.ucsd.edu/ark:/20775/bb57690636,Object,20775-bb57690636-0-1.pdf,document-service,text,,UCSD Guardian,,,,Daily Guardian,The Guardian,Triton Times,Guardian,,,,,,,,,,,,,1983-03-07,,"March 7, 1983",,1983-03-07,,20775-bb57690636-0-2.tgz,document-source,VOLUME48_ISSUE19_MONDAYMARCH7_1983.pdf,,"Special Collections & Archives, UC San Diego, La Jolla, 92093-0175 (http://libraries.ucsd.edu/collections/sca/)","The UCSD student newspaper has been published under the five following titles during its existence: Triton Times (May 26, 1967 - June 9, 1978); Guardian (September 19, 1978 - June 1, 1979); Daily Guardian (June 4, 1979 - November 26, 1980); The Guardian (January 5, 1981 - June 4, 1981); UCSD Guardian (September 15, 1981 -)",PDF file includes photographs,,,"La Jolla, CA",,"Volume 48, Issue 19",,
http://library.ucsd.edu/ark:/20775/bb7577950p,Object,20775-bb7577950p-0-1.pdf,document-service,text,,UCSD Guardian,,,,Guardian,The Guardian,Triton Times,Daily Guardian,,,,,,,,,,,,,1993-01-25,,"January 25, 1993",,1993-01-25,,20775-bb7577950p-0-2.tgz,document-source,VOLUME78_ISSUE7_MONDAYJANUARY25_1993.pdf,,"Special Collections & Archives, UC San Diego, La Jolla, 92093-0175 (http://libraries.ucsd.edu/collections/sca/)","The UCSD student newspaper has been published under the five following titles during its existence: Triton Times (May 26, 1967 - June 9, 1978); Guardian (September 19, 1978 - June 1, 1979); Daily Guardian (June 4, 1979 - November 26, 1980); The Guardian (January 5, 1981 - June 4, 1981); UCSD Guardian (September 15, 1981 -)",PDF file includes photographs,,,"La Jolla, CA",,"Volume 78, Issue 7",,
