Begin date,Object Unique ID
1972-07-10,http://library.ucsd.edu/ark:/20775/bb6861399f
1978-11-01,http://library.ucsd.edu/ark:/20775/bb7817045h
1991-10-04,http://library.ucsd.edu/ark:/20775/bb9250496d
1971-06-25,http://library.ucsd.edu/ark:/20775/bb4745327z
1994-02-19,http://library.ucsd.edu/ark:/20775/bb9318766f
1990-06-28,http://library.ucsd.edu/ark:/20775/bb00012752
1993-04-16,http://library.ucsd.edu/ark:/20775/bb86020356
1972-10-27,http://library.ucsd.edu/ark:/20775/bb1332340c
1967-01-24,http://library.ucsd.edu/ark:/20775/bb1195820g
1991-11-08,http://library.ucsd.edu/ark:/20775/bb9455279v
1997-10-29,http://library.ucsd.edu/ark:/20775/bb8772678c
1960-04-07,http://library.ucsd.edu/ark:/20775/bb9079842h
1985-01-11,http://library.ucsd.edu/ark:/20775/bb14005855
1999-11-24,http://library.ucsd.edu/ark:/20775/bb6724881f
1975-03-03,http://library.ucsd.edu/ark:/20775/bb1844283b
1987-09-09,http://library.ucsd.edu/ark:/20775/bb60764144
1965-06-07,http://library.ucsd.edu/ark:/20775/bb4677088n
1974-03-14,http://library.ucsd.edu/ark:/20775/bb40968650
1990-04-27,http://library.ucsd.edu/ark:/20775/bb9318765x
1997-10-10,http://library.ucsd.edu/ark:/20775/bb78170461
1967-11-07,http://library.ucsd.edu/ark:/20775/bb00353937
1994-05-17,http://library.ucsd.edu/ark:/20775/bb0922777m
1972-04-07,http://library.ucsd.edu/ark:/20775/bb5666849b
1972-04-05,http://library.ucsd.edu/ark:/20775/bb0206049j
1992-10-30,http://library.ucsd.edu/ark:/20775/bb2526887f
1986-09-19,http://library.ucsd.edu/ark:/20775/bb0240172v
1994-05-19,http://library.ucsd.edu/ark:/20775/bb33801379
1967-04-18,http://library.ucsd.edu/ark:/20775/bb46088173
1968-06-21,http://library.ucsd.edu/ark:/20775/bb6861396w
1973-02-23,http://library.ucsd.edu/ark:/20775/bb4745326f
1988-02-17,http://library.ucsd.edu/ark:/20775/bb74074860
1992-06-01,http://library.ucsd.edu/ark:/20775/bb0444948f
1979-09-17,http://library.ucsd.edu/ark:/20775/bb11958231
1963-04-22,http://library.ucsd.edu/ark:/20775/bb4096860d
1995-06-09,http://library.ucsd.edu/ark:/20775/bb4301638r
1976-07-23,http://library.ucsd.edu/ark:/20775/bb45064132
1973-02-26,http://library.ucsd.edu/ark:/20775/bb1844287d
1971-10-01,http://library.ucsd.edu/ark:/20775/bb8909188j
1978-07-03,http://library.ucsd.edu/ark:/20775/bb0240173c
1991-08-29,http://library.ucsd.edu/ark:/20775/bb13664566
1999-06-07,http://library.ucsd.edu/ark:/20775/bb2526886x
1972-05-11,http://library.ucsd.edu/ark:/20775/bb46770874
1974-04-22,http://library.ucsd.edu/ark:/20775/bb4608816k
1979-10-19,http://library.ucsd.edu/ark:/20775/bb7817043g
1994-10-06,http://library.ucsd.edu/ark:/20775/bb96259142
1994-05-24,http://library.ucsd.edu/ark:/20775/bb3687299m
1966-01-06,http://library.ucsd.edu/ark:/20775/bb0444947x
1992-03-20,http://library.ucsd.edu/ark:/20775/bb1844286w
1996-03-27,http://library.ucsd.edu/ark:/20775/bb1195822h
1989-02-27,http://library.ucsd.edu/ark:/20775/bb1332342d
1992-12-18,http://library.ucsd.edu/ark:/20775/bb60764165
1990-05-17,http://library.ucsd.edu/ark:/20775/bb7817042z
1987-01-15,http://library.ucsd.edu/ark:/20775/bb47453290
1976-03-03,http://library.ucsd.edu/ark:/20775/bb22538439
1978-04-20,http://library.ucsd.edu/ark:/20775/bb7885305r
1963-01-10,http://library.ucsd.edu/ark:/20775/bb86020377
1985-09-23,http://library.ucsd.edu/ark:/20775/bb7441616j
1966-01-26,http://library.ucsd.edu/ark:/20775/bb00353916
1984-06-04,http://library.ucsd.edu/ark:/20775/bb9079840g
1993-06-02,http://library.ucsd.edu/ark:/20775/bb0922775k
1965-05-05,http://library.ucsd.edu/ark:/20775/bb1332341w
1969-06-13,http://library.ucsd.edu/ark:/20775/bb53255491
