Object Unique ID,Begin date,Date:creation,End date,Title,he_counts,she_counts,word_counts
http://library.ucsd.edu/ark:/20775/bb9728139m,1980-11-26,"November 26, 1980",1980-11-26,Daily Guardian,38,8,16458
http://library.ucsd.edu/ark:/20775/bb8670110x,1977-09-20,"September 20, 1977",1977-09-20,Triton Times,110,6,53146
http://library.ucsd.edu/ark:/20775/bb29703980,1973-03-02,"March 2, 1973",1973-03-02,Triton Times,37,7,18250
http://library.ucsd.edu/ark:/20775/bb8943153j,1980-02-04,"February 4, 1980",1980-02-04,Daily Guardian,40,8,13167
http://library.ucsd.edu/ark:/20775/bb45403810,1995-11-09,"November 9, 1995",1995-11-09,UCSD Guardian,79,13,22056
http://library.ucsd.edu/ark:/20775/bb4813425r,2005-03-31,"March 31, 2005",2005-03-31,UCSD Guardian,40,8,22922
http://library.ucsd.edu/ark:/20775/bb32093120,1988-04-18,"April 18, 1988",1988-04-18,UCSD Guardian,40,6,22499
http://library.ucsd.edu/ark:/20775/bb2014762h,1980-02-12,"February 12, 1980",1980-02-12,Daily Guardian,36,0,8285
http://library.ucsd.edu/ark:/20775/bb4984073r,1975-04-16,"April 16, 1975",1975-04-16,Triton Times,29,8,14487
http://library.ucsd.edu/ark:/20775/bb69977446,2005-05-05,"May 5, 2005",2005-05-05,UCSD Guardian,18,6,11964
http://library.ucsd.edu/ark:/20775/bb1536937j,1968-04-26,"April 26, 1968",1968-04-26,Triton Times,45,1,12929
http://library.ucsd.edu/ark:/20775/bb20147631,1973-05-04,"May 4, 1973",1973-05-04,Triton Times,42,9,21330
http://library.ucsd.edu/ark:/20775/bb56666707,2000-10-30,"October 30, 2000",2000-10-30,UCSD Guardian,18,5,23398
http://library.ucsd.edu/ark:/20775/bb44038604,1989-06-05,"June 5, 1989",1989-06-05,UCSD Guardian,56,12,22955
http://library.ucsd.edu/ark:/20775/bb1605199p,1971-10-19,"October 19, 1971",1971-10-19,Triton Times,43,7,12516
http://library.ucsd.edu/ark:/20775/bb8260551d,1971-04-02,"April 2, 1971",1971-04-02,Triton Times,31,3,12228
http://library.ucsd.edu/ark:/20775/bb6997743p,1975-02-07,"February 7, 1975",1975-02-07,Triton Times,29,11,11974
http://library.ucsd.edu/ark:/20775/bb7304908t,1977-02-14,"February 14, 1977",1977-02-14,Triton Times,41,0,21651
http://library.ucsd.edu/ark:/20775/bb17075895,1982-11-18,"November 18, 1982",1982-11-18,UCSD Guardian,39,2,7645
http://library.ucsd.edu/ark:/20775/bb68617028,2013-05-16,"May 16, 2013",2013-05-16,UCSD Guardian,23,2,12696
http://library.ucsd.edu/ark:/20775/bb3209310z,1986-05-08,"May 8, 1986",1986-05-08,UCSD Guardian,32,43,19343
http://library.ucsd.edu/ark:/20775/bb2970397g,1977-03-18,"March 18, 1977",1977-03-18,Triton Times,31,21,10308
http://library.ucsd.edu/ark:/20775/bb92844568,1999-03-08,"March 8, 1999",1999-03-08,UCSD Guardian,56,17,19563
http://library.ucsd.edu/ark:/20775/bb4574516w,1976-04-23,"April 23, 1976",1976-04-23,Triton Times,31,4,10268
http://library.ucsd.edu/ark:/20775/bb89431542,2003-02-06,"February 6, 2003",2003-02-06,UCSD Guardian,59,20,21726
http://library.ucsd.edu/ark:/20775/bb5871576w,2010-10-07,"October 7, 2010",2010-10-07,UCSD Guardian,37,4,13321
http://library.ucsd.edu/ark:/20775/bb05813009,2005-01-20,"January 20, 2005",2005-01-20,UCSD Guardian,43,12,14633
http://library.ucsd.edu/ark:/20775/bb61786256,2000-11-09,"November 9, 2000",2000-11-09,UCSD Guardian,39,26,22244
http://library.ucsd.edu/ark:/20775/bb31751798,1985-02-11,"February 11, 1985",1985-02-11,UCSD Guardian,41,10,19325
http://library.ucsd.edu/ark:/20775/bb38236555,1975-01-20,"January 20, 1975",1975-01-20,Triton Times,54,3,13180
http://library.ucsd.edu/ark:/20775/bb4540380g,1972-02-18,"February 18, 1972",1972-02-18,Triton Times,79,6,18072
http://library.ucsd.edu/ark:/20775/bb4574514v,1988-01-19,"January 19, 1988",1988-01-19,UCSD Guardian,18,13,18179
http://library.ucsd.edu/ark:/20775/bb5769064q,1989-11-16,"November 16, 1989",1989-11-16,UCSD Guardian,49,41,19754
http://library.ucsd.edu/ark:/20775/bb1298033h,1981-01-26,"January 26, 1981",1981-01-26,The Guardian,50,3,15593
http://library.ucsd.edu/ark:/20775/bb8260550w,1994-11-21,"November 21, 1994",1994-11-21,UCSD Guardian,36,6,19869
http://library.ucsd.edu/ark:/20775/bb4745285c,2008-12-04,"December 4, 2008",2008-12-04,UCSD Guardian,23,3,12969
http://library.ucsd.edu/ark:/20775/bb7748725w,2011-04-11,"April 11, 2011",2011-04-11,UCSD Guardian,5,4,14156
http://library.ucsd.edu/ark:/20775/bb6110485m,2008-05-22,"May 22, 2008",2008-05-22,UCSD Guardian,11,14,11714
http://library.ucsd.edu/ark:/20775/bb15369382,1995-02-02,"February 2, 1995",1995-02-02,UCSD Guardian,12,4,13256
http://library.ucsd.edu/ark:/20775/bb2356067b,2002-01-28,"January 28, 2002",2002-01-28,UCSD Guardian,43,11,18425
http://library.ucsd.edu/ark:/20775/bb4574515c,1984-09-27,"September 27, 1984",1984-09-27,UCSD Guardian,32,14,26510
http://library.ucsd.edu/ark:/20775/bb3209311g,1977-10-05,"October 5, 1977",1977-10-05,Triton Times,23,10,13878
http://library.ucsd.edu/ark:/20775/bb2356066t,1979-11-15,"November 15, 1979",1979-11-15,Daily Guardian,44,5,8233
http://library.ucsd.edu/ark:/20775/bb3312185v,2013-04-25,"April 25, 2013",2013-04-25,UCSD Guardian,26,3,14712
http://library.ucsd.edu/ark:/20775/bb9284455r,1980-02-26,"February 26, 1980",1980-02-26,Daily Guardian,27,9,8778
http://library.ucsd.edu/ark:/20775/bb3823654n,1999-10-11,"October 11, 1999",1999-10-11,UCSD Guardian,21,3,25506
http://library.ucsd.edu/ark:/20775/bb8670113g,1981-11-19,"November 19, 1981",1981-11-19,UCSD Guardian,165,2,24957
http://library.ucsd.edu/ark:/20775/bb1741724m,2003-04-21,"April 21, 2003",2003-04-21,UCSD Guardian,19,21,24662
http://library.ucsd.edu/ark:/20775/bb1195646n,1979-02-02,"February 2, 1979",1979-02-02,Guardian,70,13,20117
http://library.ucsd.edu/ark:/20775/bb3175178r,1969-10-24,"October 24, 1969",1969-10-24,Triton Times,78,20,20266
http://library.ucsd.edu/ark:/20775/bb6178622n,1982-10-14,"October 14, 1982",1982-10-14,UCSD Guardian,83,8,21414
http://library.ucsd.edu/ark:/20775/bb6690568d,1977-10-19,"October 19, 1977",1977-10-19,Triton Times,25,0,7895
http://library.ucsd.edu/ark:/20775/bb8670112z,2001-04-16,"April 16, 2001",2001-04-16,UCSD Guardian,34,17,24217
http://library.ucsd.edu/ark:/20775/bb12980341,2004-01-08,"January 8, 2004",2004-01-08,UCSD Guardian,41,14,21241
http://library.ucsd.edu/ark:/20775/bb30045302,1985-10-14,"October 14, 1985",1985-10-14,UCSD Guardian,53,51,24760
http://library.ucsd.edu/ark:/20775/bb8397235j,2012-05-03,"May 3, 2012",2012-05-03,UCSD Guardian,52,15,15303
http://library.ucsd.edu/ark:/20775/bb3653125x,2011-11-14,"November 14, 2011",2011-11-14,UCSD Guardian,3,6,11557
http://library.ucsd.edu/ark:/20775/bb76462150,1982-05-10,"May 10, 1982",1982-05-10,UCSD Guardian,134,2,24488
http://library.ucsd.edu/ark:/20775/bb69977425,1987-11-02,"November 2, 1987",1987-11-02,UCSD Guardian,25,12,18047
http://library.ucsd.edu/ark:/20775/bb2014760g,1991-04-25,"April 25, 1991",1991-04-25,UCSD Guardian,80,31,22457
http://library.ucsd.edu/ark:/20775/bb6827091x,1973-03-06,"March 6, 1973",1973-03-06,Triton Times,15,6,13717
http://library.ucsd.edu/ark:/20775/bb23560617,1979-04-23,"April 23, 1979",1979-04-23,Guardian,28,14,28428
http://library.ucsd.edu/ark:/20775/bb6963611z,2001-07-16,"July 16, 2001",2001-07-16,UCSD Guardian,50,38,21403
http://library.ucsd.edu/ark:/20775/bb47792944,2006-01-09,"January 9, 2006",2006-01-09,UCSD Guardian,53,3,15204
http://library.ucsd.edu/ark:/20775/bb8943151h,1986-01-30,"January 30, 1986",1986-01-30,UCSD Guardian,87,26,24268
http://library.ucsd.edu/ark:/20775/bb45403831,1989-04-10,"April 10, 1989",1989-04-10,UCSD Guardian,64,14,51606
http://library.ucsd.edu/ark:/20775/bb1536939k,1986-11-10,"November 10, 1986",1986-11-10,UCSD Guardian,33,29,16389
http://library.ucsd.edu/ark:/20775/bb89431521,1974-05-24,"May 24, 1974",1974-05-24,Triton Times,86,10,23093
http://library.ucsd.edu/ark:/20775/bb7577954r,2004-04-22,"April 22, 2004",2004-04-22,UCSD Guardian,53,22,24934
http://library.ucsd.edu/ark:/20775/bb4540382h,1980-02-12,"February 12, 1980",1980-02-12,Daily Guardian,26,1,11667
http://library.ucsd.edu/ark:/20775/bb5939835x,2009-10-05,"October 5, 2009",2009-10-05,UCSD Guardian,43,7,19105
http://library.ucsd.edu/ark:/20775/bb6963612g,1975-04-02,"April 2, 1975",1975-04-02,Triton Times,40,5,13358
http://library.ucsd.edu/ark:/20775/bb71683866,1980-03-04,"March 4, 1980",1980-03-04,Daily Guardian,36,6,9191
http://library.ucsd.edu/ark:/20775/bb6997741n,2003-05-01,"May 1, 2003",2003-05-01,UCSD Guardian,41,7,24200
http://library.ucsd.edu/ark:/20775/bb44038625,1995-10-09,"October 9, 1995",1995-10-09,UCSD Guardian,36,2,22762
